high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
4.7,58.1%,4.7,3,3%,1330-1540,7:1,"Williamstown, MA",98%,5,91.6%,2,1,88%,#1,"$48,310",17.5%,97%,/best-colleges/williams-college-2229,95%,94%,2131,3,74.6%,Williams College,4
4.6,52.7%,4.6,1,3%,1350-1530,8:1,"Amherst, MA",98%,5,93.9%,6,3,86%,#2,"$48,526",14.3%,98%,/best-colleges/amherst-college-2115,96%,93%,1785,16,70.8%,Amherst College,10
4.5,43.3%,4.5,4,2%,1350-1530,8:1,"Swarthmore, PA",99%,3,95%,16,-2,89%,#3,"$46,060",14.3%,96%,/best-colleges/swarthmore-college-3370,93%,95%,1534,10,74.9%,Swarthmore College,8
4.6,46.9%,4.4,12,0.4%,1310-1510,7:1,"Wellesley, MA",99%,8,94.2%,11,0,83%,#4,"$45,078",29.1%,96%,/best-colleges/wellesley-college-2224,91%,91%,2474,9,73.2%,Wellesley College,8
4.5,53.4%,4.3,4,2%,1360-1510,9:1,"Brunswick, ME",94%,5,92.1%,5,0,83%,#5Tie,"$46,808",15%,96%,/best-colleges/bowdoin-college-2038,93%,93%,1795,14,70.8%,Bowdoin College,13
4.5,37.5%,4.3,1,2%,1380-1540,8:1,"Claremont, CA",99%,2,93.1%,25,2,92%,#5Tie,"$45,832",13.9%,98%,/best-colleges/pomona-college-1173,96%,94%,1612,25,68.2%,Pomona College,7
4.4,52.8%,4.3,4,3%,1280-1490,9:1,"Middlebury, VT",93%,12,92.8%,6,1,74%,#7,"$46,044",17.5%,96%,/best-colleges/middlebury-college-3691,94%,93%,2495,33,61.8%,Middlebury College,3
4.4,53.9%,4.3,4,1%,1340-1520,9:1,"Northfield, MN",96%,8,95.3%,4,1,79%,#8Tie,"$47,736",21%,97%,/best-colleges/carleton-college-2340,92%,91%,2045,16,66.1%,Carleton College,25
4.5,43.3%,4.1,12,1%,1320-1500,9:1,"Claremont, CA",96%,11,94.4%,16,0,74%,#8Tie,"$47,395",11.7%,96%,/best-colleges/claremont-mckenna-college-1170,93%,93%,1328,5,85%,Claremont McKenna College,13
4.3,45.3%,4,4,0.3%,1310-1490,9:1,"Haverford, PA",98%,3,93.4%,13,-1,95%,#8Tie,"$47,214",23.5%,97%,/best-colleges/haverford-college-3274,93%,94%,1187,5,82.3%,Haverford College,12
4.3,55.4%,4.2,9,0%,1230-1440,10:1,"Davidson, NC",97%,33,97.8%,3,-1,81%,#11Tie,"$45,377",25.6%,96%,/best-colleges/davidson-college-2918,92%,93%,1788,4,72.4%,Davidson College,27
4.6,32.1%,4.2,9,1%,1310-1480,8:1,"Poughkeepsie, NY",93%,17,95%,47,4,66%,#11Tie,"$49,570",24.1%,96%,/best-colleges/vassar-college-2895,94%,90%,2477,22,63.7%,Vassar College,13
4.8,19.5%,4.1,20,0%,1180-1380,9:1,"Annapolis, MD",81%,24,97.5%,123,9,54%,#13,$0,7.4%,97%,/best-colleges/naval-academy-2101,88%,79%,4526,52,67.9%,United States Naval Academy,2
4.2,44.1%,3.7,15,0.2%,30-33,8:1,"Lexington, VA",98%,8,88.7%,15,-3,80%,#14,"$45,617",18.4%,95%,/best-colleges/washington-and-lee-3768,90%,93%,2277,2,72.6%,Washington and Lee University,25
4.3,38.6%,4,15,2%,1260-1430,10:1,"Waterville, ME",93%,19,92.3%,22,6,64%,#15Tie,"$47,350",26%,94%,/best-colleges/colby-college-2039,93%,87%,1820,20,71.2%,Colby College,27
4.3,42.1%,3.8,15,1%,1300-1470,9:1,"Clinton, NY",97%,14,93.8%,18,3,72%,#15Tie,"$47,820",27.2%,95%,/best-colleges/hamilton-college-2728,93%,90%,1926,10,73.5%,Hamilton College,21
4.6,29%,4.3,23,5%,1400-1560,9:1,"Claremont, CA",100%,1,96.4%,59,-4,97%,#15Tie,"$48,594",19.1%,98%,/best-colleges/harvey-mudd-college-1171,91%,95%,807,57,60.4%,Harvey Mudd College,17
4.5,45.4%,4.1,9,5%,1310-1490,9:1,"Middletown, CT",91%,14,95.6%,13,2,67%,#15Tie,"$47,972",20.4%,96%,/best-colleges/wesleyan-university-1424,92%,90%,3205,40,71.9%,Wesleyan University,45
4.3,53%,4,20,3%,1260-1430,10:1,"Lewiston, ME",87%,24,96.9%,6,7,56%,#19Tie,"$47,030",24.2%,93%,/best-colleges/bates-college-2036,93%,86%,1791,45,68%,Bates College,34
4.3,36.6%,4.2,28,0%,28-32,9:1,"Grinnell, IA",88%,21,92.3%,31,-2,63%,#19Tie,"$45,620",35.1%,94%,/best-colleges/grinnell-college-1868,86%,88%,1721,20,68.4%,Grinnell College,22
4.5,34.6%,4.2,35,5%,1220-1450,9:1,"Northampton, MA",89%,31,97.2%,36,4,62%,#19Tie,"$44,724",43.1%,93%,/best-colleges/smith-college-2209,86%,82%,3033,29,68.1%,Smith College,19
4.3,39.8%,3.9,20,2%,1270-1450,9:1,"Hamilton, NY",93%,13,95.6%,21,4,76%,#22,"$48,175",26.7%,94%,/best-colleges/colgate-university-2701,91%,87%,2900,22,66.4%,Colgate University,38
4.3,34.2%,4.1,31,2%,1270-1455,9:1,"Oberlin, OH",87%,21,95.9%,37,0,62%,#23,"$48,682",30.4%,93%,/best-colleges/oberlin-college-3086,88%,88%,2911,22,76.6%,Oberlin College,31
4.3,37.9%,4,28,1%,1240-1460,10:1,"St. Paul, MN",90%,21,89.9%,25,-1,64%,#24Tie,"$47,195",34.2%,95%,/best-colleges/macalester-college-2358,87%,88%,2039,29,71.2%,Macalester College,45
4.4,41.3%,3.7,33,1%,1280-1453,10:1,"Claremont, CA",99%,17,91%,19,-5,75%,#24Tie,"$47,378",35.7%,93%,/best-colleges/scripps-college-1174,84%,89%,1009,19,84.2%,Scripps College,22
4.8,28.8%,4.1,41,0%,1180-1385,7:1,"West Point, NY",74%,52,100%,63,6,46%,#24Tie,$0,9%,95%,/best-colleges/west-point-2893,84%,78%,4591,81,91.5%,United States Military Academy,4
4.3,37.9%,4,50,3%,1210-1470,8:1,"Bryn Mawr, PA",93%,28,90.3%,25,-1,65%,#27Tie,"$45,540",39.9%,91%,/best-colleges/bryn-mawr-college-3237,84%,85%,1738,25,75.4%,Bryn Mawr College,19
4.1,18.6%,3.8,23,0%,1220-1430,10:1,"Colorado Springs, CO",94%,19,93.2%,131,2,66%,#27Tie,"$46,410",22.3%,96%,/best-colleges/colorado-college-1347,87%,85%,2060,10,64.4%,Colorado College,31
4.7,11.9%,4,50,0%,29-32,8:1,"USAF Academy, CO",85%,24,99.7%,177,5,55%,#27Tie,$0,15.4%,90%,/best-colleges/air-force-academy-1369,85%,80%,3993,57,74.8%,United States Air Force Academy,4
4.2,36.2%,3.8,28,0%,1230-1410,10:1,"Gambier, OH",88%,24,92%,31,-1,65%,#30Tie,"$47,330",38.4%,94%,/best-colleges/kenyon-college-3065,89%,90%,1705,33,67.1%,Kenyon College,34
4.1,25.5%,3.7,41,0%,1210-1410,8:1,"Univ. of Richmond, VA",93%,28,89.7%,75,-1,64%,#30Tie,"$46,680",31.2%,94%,/best-colleges/university-of-richmond-3744,85%,86%,3531,7,66.6%,University of Richmond,22
4.4,25.4%,3.9,15,10%,1240-1440,10:1,"New York, NY",97%,14,83.8%,75,3,77%,#32Tie,"$46,040",20.5%,96%,/best-colleges/barnard-college-2708,90%,87%,2489,91,73.1%,Barnard College,56
4.3,30.8%,3.8,15,3%,1200-1400,9:1,"Lewisburg, PA",87%,28,95.6%,51,3,62%,#32Tie,"$48,498",29.5%,94%,/best-colleges/bucknell-university-3238,91%,88%,3608,76,58%,Bucknell University,42
4,51.3%,3.5,12,2%,1220-1390,10:1,"Worcester, MA",90%,52,95%,9,5,57%,#34,"$45,692",33%,95%,/best-colleges/holy-cross-2141,91%,86%,2912,52,64.6%,College of the Holy Cross,50
4,33.5%,3.4,23,1%,1180-1370,10:1,"Easton, PA",89%,33,93.7%,40,1,62%,#35Tie,"$45,635",34.1%,94%,/best-colleges/lafayette-college-3284,88%,87%,2486,45,59.6%,Lafayette College,31
4.3,33.3%,3.5,48,0%,1210-1400,10:1,"Claremont, CA",96%,47,89.5%,40,6,55%,#35Tie,"$46,992",14.5%,92%,/best-colleges/pitzer-college-1172,82%,76%,1081,33,71.1%,Pitzer College,27
4.1,27.6%,3.6,48,0%,1190-1365,9:1,"Carlisle, PA",78%,43,94.1%,65,4,46%,#37Tie,"$47,692",44.5%,90%,/best-colleges/dickinson-college-3253,85%,81%,2494,25,76.3%,Dickinson College,59
4,27.4%,3.6,35,0.4%,1220-1410,9:1,"Lancaster, PA",86%,33,92.7%,65,2,56%,#37Tie,"$48,514",36.2%,93%,/best-colleges/franklin-and-marshall-college-3265,87%,85%,2297,49,62.9%,Franklin and Marshall College,42
