financial_resources_rank,faculty_resources_rank,high_school_counselor_score_out_of_5,average_freshman_retention_rate,graduation_and_retention_rank,satact_25th_75th_percentile,student_selectivity_rank,rank,freshmen_in_top_10_percent_of_high_school_class,classes_with_50_or_more_students,classes_with_fewer_than_20_students,student_faculty_ratio,url,location,enrollment,tuition,predicted_graduation_rate,school_name,alumni_giving_rank,percent_of_faculty_who_are_full_time,six_year_graduation_rate,freshmen_in_top_25_percent_of_high_school_class,overperformanceunderperformance,fall_2013_acceptance_rate,peer_assessment_score_out_of_5,average_alumni_giving_rate
10,5,4.9,98,2,1410-1600,5,#1,95,11,70.9,6:1,/best-colleges/princeton-university-2627,"Princeton, NJ",8014,"$41,820",94,Princeton University,1,92.4,97,98,3,7.4,4.8,62.5
5,3,4.9,97,2,1410-1600,5,#2,95,10,75.6,7:1,/best-colleges/harvard-university-2155,"Cambridge, MA",19882,"$43,938",95,Harvard University,10,94.8,97,99,2,5.8,4.9,35.1
1,8,4.9,99,1,1420-1590,3,#3,95,7,76.8,6:1,/best-colleges/yale-university-1426,"New Haven, CT",12109,"$45,800",95,Yale University,7,87.7,98,99,3,6.9,4.8,35.8
11,4,4.9,99,5,1400-1570,5,#4Tie,93,9,81.6,6:1,/best-colleges/columbia-university-2707,"New York, NY",23606,"$51,008",94,Columbia University,13,91.9,96,98,2,6.9,4.6,33.8
8,10,4.9,98,5,1380-1570,5,#4Tie,96,12,68.8,5:1,/best-colleges/stanford-1305,"Stanford, CA",18136,"$44,757",94,Stanford University,7,99.6,96,100,2,5.7,4.9,35.6
6,1,4.7,99,10,1440-1590,3,#4Tie,98,5,75.8,6:1,/best-colleges/university-of-chicago-1774,"Chicago, IL",12539,"$48,253",93,University of Chicago,4,88.9,93,100,0,8.8,4.6,40.1
7,12,4.9,98,15,1430-1570,1,#7,99,12,68.9,8:1,/best-colleges/mit-2178,"Cambridge, MA",11301,"$45,016",95,Massachusetts Institute of Technology,6,93,93,100,-2,8.2,4.9,36.6
14,1,4.8,97,10,1360-1550,14,#8Tie,90,6,71.1,7:1,/best-colleges/duke-university-2920,"Durham, NC",15465,"$47,488",94,Duke University,10,96,94,98,0,12.4,4.4,35.4
11,6,4.8,98,2,1360-1540,10,#8Tie,94,10,68.3,6:1,/best-colleges/university-of-pennsylvania-3378,"Philadelphia, PA",21358,"$47,668",94,University of Pennsylvania,15,84.7,96,99,2,12.2,4.4,33.5
1,11,4.8,97,22,1490-1600,1,#10,99,10,62.7,3:1,/best-colleges/cal-tech-1131,"Pasadena, CA",2181,"$43,362",95,California Institute of Technology,30,97.8,93,100,-2,10.6,4.6,23
16,15,4.8,98,5,1360-1560,10,#11,90,9,61.8,8:1,/best-colleges/dartmouth-college-2573,"Hanover, NH",6342,"$48,108",93,Dartmouth College,2,91.4,95,98,2,10.4,4.2,48.1
3,18,4.8,97,18,1340-1520,18,#12,84,10,71.5,10:1,/best-colleges/jhu-2077,"Baltimore, MD",21052,"$47,060",93,Johns Hopkins University,12,97.4,93,98,0,17.1,4.6,34.3
11,6,4.7,97,10,1390-1550,10,#13,91,7,74.6,7:1,/best-colleges/northwestern-1739,"Evanston, IL",20997,"$47,251",94,Northwestern University,24,95.9,94,99,0,14,4.3,26.1
4,12,4.6,97,10,32-34,5,#14,95,12,65.2,8:1,/best-colleges/washington-university-st-louis-2520,"St. Louis, MO",14032,"$46,467",95,Washington University in St. Louis,19,89,94,99,-1,15.6,4,26.8
17,20,4.8,97,15,1320-1520,20,#15,87,18,55.6,9:1,/best-colleges/cornell-university-2711,"Ithaca, NY",21593,"$47,286",92,Cornell University,16,96.5,93,98,1,15.6,4.5,30
