high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,22.1%,3.8,1,5%,24-31,13:1,"Upland, IN",67%,3,84.5%,8,7,37%,#1,"$29,538",87.6%,88%,/best-colleges/taylor-university-1838,74%,67%,2245,20,63%,Taylor University,5
N/A,15%,3.5,4,1%,23-29,12:1,"Ada, OH",69%,1,87.9%,30,2,38%,#2,"$28,050",67.9%,86%,/best-colleges/ohio-northern-university-3089,69%,67%,3619,2,64.4%,Ohio Northern University,5
N/A,17.8%,3.5,5,1%,23-28,12:1,"Sioux Falls, SD",63%,2,86.2%,21,4,30%,#3,"$29,214",68.1%,83%,/best-colleges/augustana-college-sioux-falls-3458,66%,62%,1765,18,52.8%,Augustana College,10
N/A,19.2%,3.6,7,2%,20-25,15:1,"Point Lookout, MO",50%,11,81.4%,18,14,19%,#4,"$18,530",12.2%,87%,/best-colleges/college-ozarks-2500,65%,51%,1531,57,49.6%,College of the Ozarks,10
N/A,26.4%,3.4,11,5%,21-28,12:1,"Sioux Center, IA",44%,6,72.5%,2,3,21%,#5,"$27,460",75.6%,79%,/best-colleges/dordt-college-1859,62%,59%,1501,18,59.1%,Dordt College,30
N/A,10.6%,3.2,3,6%,24-29,13:1,"Cedarville, OH",61%,4,85.3%,46,6,31%,#6Tie,"$26,400",74%,85%,/best-colleges/cedarville-university-3025,73%,67%,3462,39,64.5%,Cedarville University,14
N/A,26.9%,3.2,18,0%,19-24,N/A,"Franklin, IN",46%,26,88.5%,1,4,18%,#6Tie,"$28,185",65%,77%,/best-colleges/franklin-college-1798,59%,55%,,2,78.6%,Franklin College,10
N/A,19.9%,3.2,21,0%,21-27,11:1,"Marietta, OH",59%,9,84.2%,13,-3,32%,#6Tie,"$33,490",63.6%,78%,/best-colleges/marietta-college-3073,55%,58%,1542,1,78%,Marietta College,3
N/A,21.6%,3.3,8,0.3%,22-27,11:1,"Orange City, IA",49%,7,81.3%,10,3,19%,#6Tie,"$27,930",76.1%,78%,/best-colleges/northwestern-iowa-1883,63%,60%,1233,12,67.8%,Northwestern College,25
N/A,16.7%,3,6,3%,22-27,N/A,"St. Paul, MN",50%,5,82.6%,25,8,28%,#10,"$28,676",58.7%,78%,/best-colleges/northwestern-college-2371,66%,58%,1940,35,60.6%,University of Northwestern—​St. Paul,7
N/A,6.8%,3.1,27,1%,20-25,9:1,"Storm Lake, IA",42%,20,87.5%,83,0,14%,#11Tie,"$30,406",69.6%,73%,/best-colleges/buena-vista-university-1847,53%,53%,995,5,75%,Buena Vista University,1
N/A,19.6%,3.2,11,1%,21-26,12:1,"Dubuque, IA",39%,12,87.9%,14,6,16%,#11Tie,"$29,729",69%,79%,/best-colleges/loras-college-1873,61%,55%,1621,31,55.4%,Loras College,15
N/A,21.4%,3.1,10,0.4%,20-25,13:1,"Alliance, OH",34%,45,76.5%,10,11,10%,#11Tie,"$27,990",71.2%,74%,/best-colleges/university-of-mount-union-3083,63%,52%,2187,11,53.3%,University of Mount Union,30
N/A,17.7%,3.1,14,1%,880-1130,13:1,"Huntington, IN",53%,19,76.4%,22,3,26%,#14Tie,"$24,771",97.3%,77%,/best-colleges/huntington-university-1803,62%,59%,1134,6,71.3%,Huntington University,21
N/A,13.1%,3.4,15,1%,21-26,11:1,"Decatur, IL",41%,10,76%,35,5,19%,#14Tie,"$29,620",55.1%,77%,/best-colleges/millikin-university-1724,60%,55%,2262,24,59.7%,Millikin University,33
N/A,23.7%,3,22,0%,780-1020,8:1,"St. Mary-of-the-Woods, IN",41%,75,60%,4,17,14%,#16,"$28,226",97.5%,73%,/best-colleges/mary-of-the-woods-1835,60%,43%,832,17,92%,Saint Mary-​of-​the-​Woods College,7
N/A,18.9%,2.8,8,2%,20-25,10:1,"Dubuque, IA",46%,29,78%,19,19,18%,#17,"$28,900",77.5%,78%,/best-colleges/clarke-college-iowa-1852,70%,51%,1225,20,75.2%,Clarke University,41
N/A,21.6%,3,20,0%,21-26,13:1,"Hastings, NE",40%,15,84.6%,9,5,16%,#18,"$26,280",73.6%,71%,/best-colleges/hastings-2548,61%,56%,1144,12,67.3%,Hastings College,23
N/A,22.5%,3,27,2%,19-26,10:1,"Mishawaka, IN",21%,41,81%,7,-2,17%,#19,"$25,830",64.4%,73%,/best-colleges/bethel-college-indiana-1787,53%,55%,1804,47,67.5%,Bethel College,2
N/A,24%,3.3,22,2%,22-28,14:1,"Atchison, KS",46%,20,84.3%,3,11,25%,#20,"$25,100",97%,79%,/best-colleges/benedictine-college-10256,59%,48%,2177,57,54.5%,Benedictine College,66
N/A,13.8%,2.7,11,1%,20-24,14:1,"Cedar Rapids, IA",41%,33,78.8%,34,22,12%,#21,"$27,010",68.5%,79%,/best-colleges/mount-mercy-university-1880,73%,51%,1761,39,60.4%,Mount Mercy University,25
N/A,15.5%,3.2,39,1%,19-24,13:1,"Adrian, MI",41%,22,70.5%,29,-1,18%,#22,"$32,660",56.3%,66%,/best-colleges/adrian-college-2234,54%,55%,1658,6,72.1%,Adrian College,47
N/A,22.7%,3,24,0.4%,20-25,13:1,"Sioux City, IA",46%,8,63.3%,6,5,19%,#23Tie,"$27,180",53.4%,72%,/best-colleges/morningside-1879,58%,53%,2542,42,53%,Morningside College,56
N/A,11.8%,2.8,27,0%,19-26,10:1,"Columbia, MO",39%,15,69.6%,44,4,17%,#23Tie,"$28,510",67.6%,68%,/best-colleges/stephens-college-2512,57%,53%,842,8,79.2%,Stephens College,15
N/A,22.5%,3,27,2%,19-26,10:1,"North Newton, KS",21%,41,81%,7,-2,17%,#25Tie,"$24,200",64.4%,73%,/best-colleges/bethel-college-kansas-1905,53%,55%,482,47,67.5%,Bethel College,2
N/A,14.6%,3,24,5%,19-25,12:1,"Indianapolis, IN",43%,26,73.7%,32,6,11%,#25Tie,"$29,400",58%,71%,/best-colleges/marian-college-1821,53%,47%,2715,52,62.7%,Marian University,21
N/A,17.7%,3.2,34,1%,890-1130,15:1,"North Manchester, IN",48%,31,88.7%,22,-7,20%,#27,"$29,040",71.2%,69%,/best-colleges/manchester-college-1820,48%,55%,1349,47,53.5%,Manchester University,15
N/A,16.4%,2.8,24,0.4%,19-25,14:1,"Bluffton, OH",36%,26,81.2%,27,6,12%,#28Tie,"$29,316",53.1%,65%,/best-colleges/bluffton-university-3016,60%,54%,1146,33,64.3%,Bluffton University,37
N/A,19.8%,3,34,2%,890-1080,14:1,"Rensselaer, IN",35%,41,70.8%,14,-5,12%,#28Tie,"$27,890",64.2%,68%,/best-colleges/st-josephs-college-indiana-1833,45%,50%,1170,12,78.8%,St. Joseph's College,45
N/A,12.7%,2.8,16,0.4%,20-25,11:1,"Palos Heights, IL",27%,38,76.7%,39,5,13%,#28Tie,"$25,290",78.5%,78%,/best-colleges/trinity-christian-1771,58%,53%,1380,56,55.7%,Trinity Christian College,15
