high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,31.3%,4.1,1,0.3%,1190-1360,7:1,"New London, CT",80%,3,96.4%,1,8,47%,#1,$0,16.5%,91%,/best-colleges/coast-guard-academy-1415,91%,83%,902,1,71.1%,United States Coast Guard Academy,1
N/A,25.2%,4.1,2,2%,1220-1490,7:1,"New York, NY",95%,1,51.9%,2,-1,92%,#2,"$41,400",7.7%,94%,/best-colleges/cooper-union-2710,82%,83%,920,2,63.8%,Cooper Union,2
N/A,N/A,3.7,3,3%,1183-1351,13:1,"Kings Point, NY",57%,2,93.5%,39,1,33%,#3,"$1,032",18.2%,86%,/best-colleges/us-merchant-marine-2892,74%,73%,985,5,69.6%,United States Merchant Marine Academy,3
N/A,22.9%,3.4,4,1%,1000-1230,12:1,"Elizabethtown, PA",65%,6,81.7%,4,12,34%,#4,"$39,920",69.6%,85%,/best-colleges/elizabethtown-college-3262,77%,65%,1892,4,65.4%,Elizabethtown College,7
N/A,15.2%,3.5,5,3%,1030-1260,13:1,"Mechanicsburg, PA",68%,4,79.5%,10,9,36%,#5,"$31,340",65.9%,86%,/best-colleges/messiah-college-3298,76%,67%,3084,10,45.9%,Messiah College,13
N/A,17.5%,3.2,6,1%,1000-1220,12:1,"Annville, PA",74%,6,71.5%,8,9,37%,#6,"$37,470",66.9%,85%,/best-colleges/lebanon-valley-college-3288,73%,64%,2022,6,57%,Lebanon Valley College,15
N/A,9.2%,3.4,7,0%,980-1170,15:1,"Buzzards Bay, MA",N/A,15,87.1%,20,11,N/A,#7,"in-state: $7,203, out-of-state: $22,109",58.6%,88%,/best-colleges/mass-maritime-2181,67%,56%,1476,12,49.5%,Massachusetts Maritime Academy,11
N/A,14.6%,3.3,8,1%,920-1130,11:1,"Castine, ME",32%,17,81.4%,11,16,8%,#8,"in-state: $17,120, out-of-state: $24,040",65%,80%,/best-colleges/maine-maritime-2044,65%,49%,1018,18,50.2%,Maine Maritime Academy,8
N/A,21.2%,3.1,14,0%,940-1160,10:1,"Elmira, NY",58%,9,77.9%,5,-1,28%,#9Tie,"$38,150",79.8%,73%,/best-colleges/elmira-2718,62%,63%,1542,17,63.2%,Elmira College,13
N/A,12.9%,3.4,8,0%,920-1130,13:1,"North Andover, MA",34%,25,70.6%,14,-1,11%,#9Tie,"$36,215",78.6%,82%,/best-colleges/merrimack-college-2120,60%,61%,3032,28,42.4%,Merrimack College,20
N/A,17.7%,3.2,18,0%,900-1150,14:1,"Greensburg, PA",47%,13,76.4%,7,8,20%,#11,"$31,280",65.2%,76%,/best-colleges/seton-hill-university-pennsylvania-3362,62%,54%,2044,16,58.7%,Seton Hill University,24
N/A,13.6%,3.3,50,0%,1290-1460,6:1,"Great Barrington, MA",67%,5,84.2%,13,-48,46%,#12Tie,"$48,551",92.2%,75%,/best-colleges/simons-rock-9645,28%,76%,350,3,98.6%,Bard College at Simon's Rock,4
N/A,5.4%,3.3,13,1%,1010-1210,17:1,"Boston, MA",40%,8,67.2%,28,7,12%,#12Tie,"$29,320",57.5%,80%,/best-colleges/wentworth-institute-of-technology-29099,61%,54%,4159,46,35.5%,Wentworth Institute of Technology,30
N/A,6.3%,3,12,0%,990-1240,14:1,"Burlington, VT",39%,12,55.8%,26,3,15%,#14Tie,"$32,900",70.8%,78%,/best-colleges/champlain-college-3684,57%,54%,3305,33,60.5%,Champlain College,20
