high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,18.1%,3.3,1,0%,21-27,13:1,"Wilmore, KY",54%,4,75%,10,1,27%,#1Tie,"$26,076",65.7%,80%,/best-colleges/asbury-college-1952,64%,63%,1782,17,62%,Asbury University,27
N/A,7.4%,3.5,6,1%,980-1170,14:1,"High Point, NC",51%,13,85.8%,45,12,22%,#1Tie,"$31,480",72.1%*,77%,/best-colleges/high-point-university-2933,62%,50%,4199,18,56.7%,High Point University,13
N/A,18.1%,3.2,2,0%,23-29,15:1,"Siloam Springs, AR",65%,1,74.8%,10,3,30%,#1Tie,"$23,588",69.8%,80%,/best-colleges/john-brown-university-1100,65%,62%,2597,23,50%,John Brown University,16
N/A,15%,3.3,23,0%,20-26,10:1,"Clarksville, AR",44%,12,81%,15,-8,21%,#4,"$24,350",61.4%,63%,/best-colleges/university-of-the-ozarks-1094,48%,56%,585,3,84%,University of the Ozarks,3
N/A,13.9%,3.2,11,0%,1010-1180,13:1,"Lakeland, FL",56%,7,78.9%,21,3,20%,#5,"$29,990",49.9%,76%,/best-colleges/florida-southern-college-1488,58%,55%,2395,7,58.4%,Florida Southern College,13
N/A,15.1%,3,8,1%,1060-1280,14:1,"Lookout Mountain, GA",55%,2,87%,15,-1,24%,#6Tie,"$30,160",56.7%,83%,/best-colleges/covenant-college-3484,58%,59%,1173,11,54.2%,Covenant College,12
N/A,19.3%,3.1,6,N/A,930-1140,12:1,"Raleigh, NC",52%,16,79.8%,9,5,23%,#6Tie,"$32,140",62.3%,76%,/best-colleges/meredith-college-2945,62%,57%,1872,44,N/A,Meredith College,5
N/A,20.2%,3.3,4,0%,930-1130,17:1,"St. Augustine, FL",31%,30,73.3%,7,9,9%,#8,"$16,180",49.9%,72%,/best-colleges/flagler-7893,63%,54%,2839,52,42.3%,Flagler College,48
N/A,23%,2.9,5,1%,22-26,12:1,"Milligan College, TN",65%,3,77.2%,6,-9,37%,#9Tie,"$28,730",68.3%,82%,/best-colleges/milligan-college-3511,52%,61%,1198,11,70.4%,Milligan College,38
N/A,24%,3.1,23,9%,18-23,12:1,"Tuskegee, AL",60%,23,95.4%,4,-6,20%,#9Tie,"$20,025",41.4%,76%,/best-colleges/tuskegee-university-1050,42%,48%,3118,34,56.1%,Tuskegee University,1
N/A,14.6%,3,10,0%,20-24,12:1,"Wheeling, WV",43%,19,78.1%,17,-4,16%,#11,"$28,030",66.7%,74%,/best-colleges/wheeling-jesuit-3831,54%,58%,1619,29,61.3%,Wheeling Jesuit University,5
N/A,17.1%,3,12,0.3%,20-25,13:1,"Buckhannon, WV",56%,13,84.9%,12,4,27%,#12,"$27,858",77%,67%,/best-colleges/west-virginia-wesleyan-3830,60%,56%,1469,18,59.4%,West Virginia Wesleyan College,36
N/A,13%,3,30,2%,910-1090,11:1,"LaGrange, GA",36%,27,84.5%,23,-12,16%,#13,"$26,590",58.1%,62%,/best-colleges/lagrange-college-1578,38%,50%,940,5,74.8%,LaGrange College,2
N/A,N/A,2.8,16,8%,23-27,9:1,"Nashville, TN",43%,6,58.3%,72,23,21%,#14,"$20,550",52.1%,75%,/best-colleges/aquinas-college-tennessee-3477,67%,44%,576,63,85.4%,Aquinas College,4
N/A,8.7%,3.1,19,0%,20-26,12:1,"Jefferson City, TN",47%,18,77.8%,36,8,27%,#15,"$24,440",66.6%,65%,/best-colleges/carson-newman-3481,50%,42%,2045,29,63.1%,Carson-​Newman University,41
N/A,17.3%,2.9,14,0%,850-1090,14:1,"Salisbury, NC",22%,36,73.7%,12,-2,11%,#16Tie,"$27,360",40.6%,69%,/best-colleges/catawba-college-2914,52%,54%,1310,25,68%,Catawba College,15
N/A,11.7%,2.8,15,0%,870-1050,12:1,"Hartsville, SC",21%,48,73.2%,27,9,7%,#16Tie,"$25,536",53.3%,74%,/best-colleges/coker-college-3427,43%,34%,1172,6,72%,Coker College,27
N/A,6.7%,3.3,37,1%,860-1070,15:1,"Aiken, SC",36%,36,79.5%,48,-1,11%,#18,"in-state: $9,602, out-of-state: $18,926",70.4%,69%,/best-colleges/usc-aiken-3449,42%,43%,3299,11,51.8%,University of South Carolina—​Aiken,53
N/A,6.7%,3.2,30,2%,19-24,14:1,"Charleston, WV",70%,13,83.8%,48,-10,37%,#19,"$23,200",69.1%,67%,/best-colleges/university-of-charleston-3818,46%,56%,1935,52,58.6%,University of Charleston,31
N/A,19.8%,3,27,1%,880-1080,13:1,"Hickory, NC",44%,41,75.4%,8,-5,15%,#20,"$30,922",68.1%,65%,/best-colleges/lenoir-rhyne-university-2941,49%,54%,2004,34,46.3%,Lenoir-​Rhyne University,21
N/A,8.1%,3.2,23,3%,960-1180,16:1,"Anderson, SC",64%,5,67.8%,44,-7,39%,#21,"$23,750",65%,73%,/best-colleges/anderson-university-3418,41%,48%,2966,61,46.8%,Anderson University,71
N/A,11.2%,2.8,13,1%,20-25,15:1,"Dayton, TN",51%,7,N/A,29,8,25%,#22,"$22,200",37.6%,71%,/best-colleges/bryan-college-3536,62%,54%,1704,66,68.4%,Bryan College,67
N/A,6.6%,2.7,20,0%,18-23,13:1,"Blue Mountain, MS",38%,22,87.6%,48,5,14%,#23Tie,"$10,534",51.4%,77%,/best-colleges/blue-mountain-college-2398,51%,46%,532,15,71.4%,Blue Mountain College,38
N/A,24.1%,2.8,33,0%,19-24,14:1,"Montgomery, AL",40%,19,61.5%,4,-9,15%,#23Tie,"$24,550",62.8%,59%,/best-colleges/huntingdon-college-1019,43%,52%,1110,21,63%,Huntingdon College,27
N/A,4.8%,2.9,59,0%,840-1030,12:1,"Danville, VA",30%,60,92.4%,53,-2,11%,#25Tie,"$29,150",87.9%,59%,/best-colleges/averett-university-3702,33%,35%,915,4,75.6%,Averett University,7
N/A,8.9%,2.7,30,0%,840-1020,11:1,"Wilson, NC",38%,34,84.9%,36,6,13%,#25Tie,"$26,664",41.8%,68%,/best-colleges/barton-college-2908,48%,42%,1065,15,64.9%,Barton College,17
N/A,4.7%,2.8,16,0%,920-1340,14:1,"Tigerville, SC",39%,9,87.9%,53,12,19%,#25Tie,"$15,510",57.9%,71%,/best-colleges/north-greenville-university-3441,55%,43%,2467,47,71.3%,North Greenville University,74
N/A,1.2%,3.1,27,1%,20-25,12:1,"Mobile, AL",50%,9,72.2%,96,0,18%,#25Tie,"$19,700",71.3%,74%,/best-colleges/university-of-mobile-1029,49%,49%,1610,64,59.3%,University of Mobile,62
N/A,41.8%,3,58,2%,18-23,17:1,"Pippa Passes, KY",51%,9,80%,2,-11,18%,#29Tie,"$10,980",9.4%,58%,/best-colleges/alice-lloyd-college-1951,32%,43%,631,67,51.2%,Alice Lloyd College,51
