high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,15.1%,3.7,1,2%,22-27,12:1,"Helena, MT",61%,1,78.3%,1,10,25%,#1,"$29,280",53.1%,82%,/best-colleges/carroll-college-2526,67%,57%,1431,11,65.7%,Carroll College,11
N/A,14.7%,3.8,9,0%,930-1140,14:1,"Seguin, TX",53%,4,81.6%,2,-2,20%,#2,"$26,800",50.9%,70%,/best-colleges/texas-lutheran-university-3641,52%,54%,1341,1,64.7%,Texas Lutheran University,4
N/A,7%,3.5,2,N/A,990-1200,14:1,"Vallejo, CA",N/A,13,N/A,9,4,N/A,#3,"in-state: $6,598, out-of-state: $17,758",63.4%,81%,/best-colleges/cal-maritime-1134,60%,56%,1044,10,N/A,California Maritime Academy,2
N/A,7.3%,3.6,5,2%,21-27,16:1,"Shawnee, OK",58%,2,82.6%,5,-2,27%,#4,"$22,800",56.5%,75%,/best-colleges/oklahoma-baptist-3164,55%,57%,2097,12,69.6%,Oklahoma Baptist University,16
N/A,6.5%,3.4,3,6%,940-1200,10:1,"Santa Clarita, CA",55%,3,55.3%,10,-8,28%,#5,"$29,860",77.9%,81%,/best-colleges/masters-college-california-1220,54%,62%,1485,13,73.9%,Master's College and Seminary,5
N/A,7.1%,3.7,15,1%,18-24,15:1,"Bartlesville, OK",N/A,11,57.2%,8,11,N/A,#6,"$23,180",23.9%,59%,/best-colleges/oklahoma-wesleyan-3151,56%,45%,1355,7,77.4%,Oklahoma Wesleyan University,7
N/A,12.9%,3.4,6,2%,950-1180,13:1,"Salem, OR",63%,4,71.1%,3,-1,33%,#7,"$28,640",34.5%,75%,/best-colleges/corban-college-1339,54%,55%,1089,18,52.5%,Corban University,7
N/A,4.9%,3.2,13,0%,882-1097,14:1,"Atherton, CA",N/A,23,63.2%,15,10,N/A,#8Tie,"$37,520",40.5%,75%,/best-colleges/menlo-college-1236,60%,50%,713,2,53.4%,Menlo College,3
N/A,1.7%,3.7,12,3%,880-1140,13:1,"Klamath Falls, OR",59%,6,73.2%,32,-1,25%,#8Tie,"in-state: $8,445, out-of-state: $23,670",71.4%,73%,/best-colleges/oit-3211,43%,44%,4414,8,57.2%,Oregon Institute of Technology,19
N/A,4.6%,3.4,13,1%,830-1100,11:1,"Portland, OR",25%,16,71%,16,-12,8%,#8Tie,"$20,300",52.7%,69%,/best-colleges/warner-pacific-3225,32%,44%,506,6,72.8%,Warner Pacific College,1
N/A,N/A,4,6,N/A,20-25,N/A,"Rexburg, ID",N/A,20,72.9%,19,7,N/A,#11,"$3,850",99.6%,72%,/best-colleges/byu-idaho-1625,53%,46%,,31,N/A,Brigham Young University—​Idaho,25
N/A,6.1%,3,4,4%,850-1073,15:1,"Costa Mesa, CA",41%,13,48.5%,12,3,16%,#12,"$30,050",69.7%,74%,/best-colleges/vanguard-university-1293,52%,49%,2415,23,61.5%,Vanguard University of Southern California,9
N/A,7.3%,3.5,20,0.3%,18-22,13:1,"Marshall, TX",40%,10,80.6%,5,-11,16%,#13Tie,"$23,280",73.6%,58%,/best-colleges/east-texas-baptist-university-3564,33%,44%,1247,4,62.4%,East Texas Baptist University,15
N/A,7.6%,3,11,1%,19-25,12:1,"Billings, MT",35%,7,78%,4,-11,15%,#13Tie,"$24,530",66.8%,68%,/best-colleges/rocky-mountain-college-2534,40%,51%,1068,9,68.1%,Rocky Mountain College,13
N/A,6.3%,3.2,16,0.3%,860-1050,10:1,"Brownwood, TX",24%,15,81.2%,11,-4,5%,#15,"$24,600",53.7%,62%,/best-colleges/howard-payne-university-3575,40%,44%,1170,5,71%,Howard Payne University,9
N/A,N/A,3.7,9,N/A,21-26,N/A,"Laie Oahu, HI",N/A,8,73.3%,19,-6,N/A,#16Tie,"$4,770",36%,61%,/best-colleges/byu-hawaii-1606,52%,58%,,26,N/A,Brigham Young University—​Hawaii,25
N/A,N/A,3.2,8,4%,950-1170,11:1,"Kirkland, WA",N/A,17,40.5%,19,-5,N/A,#16Tie,"$26,968",86.4%,77%,/best-colleges/northwest-university-3783,43%,48%,1733,19,67.8%,Northwest University,16
N/A,6.2%,3.1,19,1%,860-1090,12:1,"Abilene, TX",37%,9,87.4%,12,-4,16%,#18,"$24,844",59.2%,58%,/best-colleges/mcmurry-university-3591,38%,42%,1216,3,71.3%,McMurry University,14
N/A,7.3%,3.3,18,0%,860-1090,10:1,"Fullerton, CA",13%,18,70.8%,5,-6,2%,#19,"$27,130",47.3%,69%,/best-colleges/hope-international-1252,44%,50%,1449,20,70%,Hope International University,21
N/A,N/A,2.8,17,1%,885-1065,12:1,"Eugene, OR",N/A,20,59.2%,19,-1,N/A,#20,"$26,180",70.4%,68%,/best-colleges/northwest-christian-3208,45%,46%,664,13,82.1%,Northwest Christian University,11
N/A,N/A,3.6,24,1%,820-1030,N/A,"Lewiston, ID",12%,26,84.8%,19,-7,3%,#21,"in-state: $5,900, out-of-state: $16,418",99.8%,54%,/best-colleges/lewis-clark-state-1621,29%,36%,4304,15,63%,Lewis-​Clark State College,24
N/A,N/A,3.1,25,0%,840-1090,14:1,"Great Falls, MT",N/A,24,64.7%,19,-13,N/A,#22,"$20,960",83.7%,62%,/best-colleges/university-of-great-falls-2527,24%,37%,1142,16,66.5%,University of Great Falls,18
N/A,3%,3.1,27,0%,860-1180,N/A,"Bethany, OK",N/A,18,56.9%,18,-9,N/A,#23,"$14,220",88.3%,64%,/best-colleges/southwestern-christian-university-3180,21%,30%,,17,81.9%,Southwestern Christian University,32
N/A,1.7%,3.3,30,0%,16-21,19:1,"Okmulgee, OK",18%,26,89.1%,32,-8,5%,#24,"in-state: $5,118, out-of-state: $16,329",53.8%,55%,/best-colleges/osu-okmulgee-3172,26%,34%,3618,20,80.8%,Oklahoma State University Institute of Technology—​Okmulgee,30
N/A,N/A,3.1,22,N/A,N/A,N/A,"Shawnee, OK",N/A,29,N/A,19,-10,N/A,#25,"$20,765",56.9%,N/A,/best-colleges/st-gregorys-university-3183,28%,38%,682,28,N/A,St. Gregory's University,19
,N/A,2,33,N/A,15-19,N/A,"Muskogee, OK",N/A,29,68.6%,19,-11,N/A,"
                RNP
            ","$14,050",71.8%,47%,/best-colleges/bacone-college-3147,11%,22%,,26,N/A,Bacone College,25
