high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,16%,4,1,4%,24-30,11:1,"Omaha, NE",68%,5,87.1%,12,-6,40%,#1,"$35,360",76.7%,89%,/best-colleges/creighton-university-2542,76%,82%,8019,5,48.7%,Creighton University,1
N/A,23.1%,3.9,3,4%,25-30,11:1,"Indianapolis, IN",81%,3,85.7%,3,-5,49%,#2,"$35,652",66.1%,90%,/best-colleges/butler-university-1788,74%,79%,4902,13,55.4%,Butler University,7
N/A,11.6%,3.8,5,6%,25-30,11:1,"Des Moines, IA",73%,2,85.7%,37,-2,44%,#3,"$32,246",66%,87%,/best-colleges/drake-university-1860,73%,75%,5139,6,51.7%,Drake University,15
N/A,12%,3.6,3,3%,23-28,12:1,"Peoria, IL",64%,6,81.2%,31,7,30%,#4,"$30,844",66.9%,87%,/best-colleges/bradley-university-1641,76%,69%,5459,10,55.2%,Bradley University,12
N/A,15.4%,3.8,9,4%,23-29,14:1,"Valparaiso, IN",68%,8,86.6%,13,1,36%,#5Tie,"$34,760",79.7%,84%,/best-colleges/valparaiso-1842,70%,69%,4508,12,52%,Valparaiso University,12
N/A,17.1%,3.6,2,2%,23-27,12:1,"Cincinnati, OH",54%,19,77%,9,3,22%,#5Tie,"$33,000",70%,83%,/best-colleges/xavier-university-3144,76%,73%,6671,10,42.9%,Xavier University,10
N/A,15.4%,3.4,6,0.1%,22-27,13:1,"University Heights, OH",51%,31,74.6%,13,11,22%,#7,"$35,800",83.3%,88%,/best-colleges/john-carroll-university-3050,75%,64%,3723,17,43.7%,John Carroll University,21
N/A,15.3%,3,29,1%,22-28,11:1,"Springfield, MO",59%,12,90.2%,18,20,30%,#8,"$23,885",73.1%,83%,/best-colleges/drury-university-2461,64%,44%,1993,2,71.1%,Drury University,4
N/A,8.8%,3.6,8,2%,25-30,17:1,"Kirksville, MO",80%,1,94.9%,51,-4,47%,#9Tie,"in-state: $7,374, out-of-state: $13,438",72.2%,87%,/best-colleges/truman-state-2495,72%,76%,6225,45,44.9%,Truman State University,106
N/A,14.9%,3.3,15,1%,23-29,13:1,"Evansville, IN",66%,13,91%,22,-6,33%,#9Tie,"$31,776",84.1%,84%,/best-colleges/university-of-evansville-1795,63%,69%,2630,2,64.1%,University of Evansville,20
N/A,9.2%,3.2,12,0.3%,21-26,13:1,"Elmhurst, IL",47%,31,70.7%,48,11,20%,#11,"$33,950",71.8%,78%,/best-colleges/elmhurst-college-1676,74%,63%,3210,21,64.2%,Elmhurst College,24
N/A,15%,3.2,15,5%,21-27,13:1,"St. Paul, MN",47%,24,70.6%,18,1,19%,#12,"$36,260",65.6%,81%,/best-colleges/hamline-university-2354,66%,65%,4581,67,52.4%,Hamline University,21
