high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,23%,4.3,1,2%,1210-1400,12:1,"Villanova, PA",88%,1,82.1%,1,1,60%,#1,"$45,966",48.9%,94%,/best-colleges/villanova-3388,90%,89%,10697,30,48.2%,Villanova University,4
N/A,18.6%,3.7,4,3%,1050-1260,12:1,"Providence, RI",67%,9,89.4%,10,7,37%,#2,"$43,245",59.8%,91%,/best-colleges/providence-college-3406,85%,78%,4769,37,47.9%,Providence College,23
N/A,6.3%,3.5,3,0.2%,1130-1340,13:1,"Ewing, NJ",89%,2,68.7%,101,4,84%,#3Tie,"in-state: $15,024, out-of-state: $25,637",43.1%,94%,/best-colleges/college-of-new-jersey-2642,85%,81%,7340,16,38.8%,College of New Jersey,43
N/A,16%,3.5,6,0.4%,1090-1250,11:1,"Fairfield, CT",64%,20,70.2%,16,3,34%,#3Tie,"$43,770",70.4%,88%,/best-colleges/fairfield-university-1385,82%,79%,4919,3,53.3%,Fairfield University,4
N/A,13.7%,3.6,5,1%,1100-1268,12:1,"Baltimore, MD",67%,7,82.7%,32,3,28%,#3Tie,"$44,255",58%,88%,/best-colleges/loyola-university-maryland-2078,84%,81%,5977,52,38.2%,Loyola University Maryland,6
N/A,6.7%,3.4,2,0.3%,1140-1310,14:1,"Waltham, MA",75%,8,82.4%,98,5,41%,#6,"$42,511",43.8%,94%,/best-colleges/bentley-university-2124,87%,82%,5658,25,28.9%,Bentley University,14
N/A,14.7%,3.4,9,0.1%,1030-1210,11:1,"Scranton, PA",59%,18,78.1%,25,14,25%,#7,"$39,906",75.1%,89%,/best-colleges/university-of-scranton-3384,82%,68%,5633,6,48.5%,University of Scranton,61
N/A,6.9%,4,38,5%,1110-1320,14:1,"Rochester, NY",64%,6,85.4%,95,-6,31%,#8,"$35,768",60.2%,88%,/best-colleges/rit-2806,66%,72%,16583,67,43.3%,Rochester Institute of Technology,18
N/A,9.3%,3.5,14,4%,1080-1270,11:1,"Ithaca, NY",63%,24,83.3%,69,3,27%,#9Tie,"$39,532",66.6%,84%,/best-colleges/ithaca-college-2739,76%,73%,6723,25,58.8%,Ithaca College,23
N/A,10.1%,3.4,13,1%,1000-1190,11:1,"Hamden, CT",66%,18,67.8%,62,3,25%,#9Tie,"$40,670",67.2%,87%,/best-colleges/quinnipiac-university-1402,76%,73%,8803,19,46.7%,Quinnipiac University,23
N/A,8.2%,3,11,0%,1050-1220,16:1,"Smithfield, RI",50%,20,78.8%,78,10,18%,#11Tie,"$38,574",76.6%,88%,/best-colleges/bryant-university-3402,82%,72%,3454,4,25.3%,Bryant University,11
N/A,14.6%,3.3,7,0%,1090-1260,16:1,"Poughkeepsie, NY",64%,14,64.9%,25,7,32%,#11Tie,"$32,500",37.5%,90%,/best-colleges/marist-college-2765,80%,73%,6365,67,47.5%,Marist College,67
N/A,11.2%,3.3,12,1%,1020-1200,14:1,"Philadelphia, PA",52%,30,65.1%,52,6,22%,#11Tie,"$40,580",78.7%,89%,/best-colleges/st-josephs-university-pennsylvania-3367,79%,73%,8954,39,33.5%,St. Joseph's University,18
N/A,7.4%,3.2,7,2%,1140-1320,13:1,"Boston, MA",68%,5,69.9%,84,-1,29%,#14Tie,"$37,350",48%,88%,/best-colleges/emerson-college-2146,81%,82%,4540,52,62.8%,Emerson College,43
N/A,9.7%,3.6,9,9%,1178-1360,19:1,"Geneseo, NY",84%,2,88%,63,-2,48%,#14Tie,"in-state: $7,774, out-of-state: $17,424",52.8%,91%,/best-colleges/suny-geneseo-2845,78%,80%,5644,148,32.7%,SUNY—​Geneseo,145
N/A,16.9%,3.1,22,4%,1040-1250,10:1,"Boston, MA",61%,20,60.5%,15,2,26%,#16,"$36,230",49%,85%,/best-colleges/simmons-college-2208,71%,69%,4655,45,69.2%,Simmons College,2
N/A,N/A,3.2,162,0%,15-20,8:1,"Washington, DC",N/A,124,100%,142,1,N/A,#17,"$13,800",65.5%,72%,/best-colleges/gallaudet-university-1443,48%,47%,1561,1,93.5%,Gallaudet University,1
N/A,14.9%,3,16,0%,970-1190,12:1,"Riverdale, NY",52%,30,75.5%,24,8,24%,#18,"$35,725",66.2%,85%,/best-colleges/manhattan-college-2758,74%,66%,3883,52,46.5%,Manhattan College,37
N/A,16.1%,3,17,2%,980-1170,13:1,"Syracuse, NY",51%,55,71.5%,16,15,21%,#19Tie,"$31,340",61.9%,85%,/best-colleges/le-moyne-college-2748,74%,59%,3319,72,40.3%,Le Moyne College,80
N/A,22.8%,3.1,24,1%,990-1180,13:1,"Emmitsburg, MD",35%,67,80.4%,2,3,15%,#19Tie,"$36,021",67.4%,80%,/best-colleges/mount-st-marys-university-2086,66%,63%,2240,108,46.2%,Mount St. Mary's University,43
N/A,N/A,3.3,54,1%,1070-1300,10:1,"Brooklyn, NY",N/A,26,32.4%,142,-5,N/A,#19Tie,"$44,804",67%,83%,/best-colleges/pratt-institute-2798,62%,67%,4627,33,71%,Pratt Institute,8
N/A,3.8%,3.1,20,1%,1000-1230,13:1,"Glassboro, NJ",63%,30,69.1%,164,12,36%,#19Tie,"in-state: $12,616, out-of-state: $20,570",60.2%,86%,/best-colleges/rowan-university-2609,70%,58%,13349,52,44.6%,Rowan University,56
N/A,9.5%,2.9,54,1%,930-1150,12:1,"Lawrenceville, NJ",38%,67,69.5%,66,10,14%,#23,"$36,830",69.4%,80%,/best-colleges/rider-university-2628,65%,55%,5410,4,50.8%,Rider University,18
N/A,19.6%,3,50,0%,930-1180,11:1,"St. Bonaventure, NY",45%,49,84.6%,7,10,18%,#24,"$30,475",80%,81%,/best-colleges/st-bonaventure-university-2817,67%,57%,2244,79,61.6%,St. Bonaventure University,67
N/A,6%,3.1,27,15%,1130-1330,16:1,"New York, NY",70%,4,72.1%,110,13,41%,#25Tie,"in-state: $6,555, out-of-state: $16,575",26.5%,90%,/best-colleges/baruch-cuny-4766,67%,54%,17505,160,20.4%,CUNY—​Baruch College,121
N/A,6.9%,3,19,3%,1030-1220,15:1,"New Paltz, NY",70%,12,77.5%,95,14,38%,#25Tie,"in-state: $7,408, out-of-state: $17,058",43.6%,88%,/best-colleges/suny-new-paltz-2846,70%,56%,7578,117,39.6%,SUNY—​New Paltz,113
N/A,11.6%,2.8,27,0.3%,980-1200,12:1,"Buffalo, NY",53%,26,71.7%,50,3,22%,#27,"$34,000",72.5%,83%,/best-colleges/canisius-college-2681,67%,64%,4537,41,48.6%,Canisius College,29
N/A,13.2%,2.8,15,0%,990-1200,17:1,"Mahwah, NJ",52%,26,71%,41,4,22%,#28Tie,"in-state: $13,388, out-of-state: $22,038",55.3%,88%,/best-colleges/ramapo-college-9344,73%,69%,5852,45,37%,Ramapo College of New Jersey,127
N/A,3.4%,3.1,64,8%,930-1140,11:1,"Camden, NJ",43%,87,76.5%,171,5,17%,#28Tie,"in-state: $13,683, out-of-state: $27,978",58.6%,82%,/best-colleges/rutgers-camden-4741,55%,50%,6264,9,37.1%,"Rutgers, The State University of New Jersey—​Camden",33
N/A,11%,3,45,1%,1050-1270,14:1,"Staten Island, NY",73%,12,64.7%,54,-9,15%,#28Tie,"$40,750",69.9%,82%,/best-colleges/wagner-college-2899,62%,71%,2241,122,62.6%,Wagner College,18
N/A,13.2%,2.7,17,0%,1020-1215,12:1,"Worcester, MA",40%,74,86.4%,40,14,10%,#31Tie,"$36,160",74.2%,83%,/best-colleges/assumption-college-2118,73%,59%,2524,91,40%,Assumption College,80
N/A,20.3%,2.8,82,5%,1030-1220,14:1,"Flushing, NY",65%,11,67.1%,6,14,35%,#31Tie,"in-state: $6,207, out-of-state: $15,777",36.7%,87%,/best-colleges/queens-college-2690,56%,42%,18974,117,41.4%,CUNY—​Queens College,99
N/A,19.4%,2.9,45,0.3%,910-1160,12:1,"Frederick, MD",45%,67,63%,8,4,12%,#31Tie,"$34,120",81%,77%,/best-colleges/hood-college-2076,66%,62%,2393,62,71.7%,Hood College,80
N/A,11.3%,3.1,38,2%,880-1100,13:1,"Philadelphia, PA",38%,96,76.7%,52,6,15%,#31Tie,"$39,800",80.2%,81%,/best-colleges/la-salle-university-3287,65%,59%,6438,103,43.7%,La Salle University,51
N/A,11.7%,2.6,20,0%,1020-1180,10:1,"Rochester, NY",65%,15,67.8%,50,-2,30%,#31Tie,"$30,572",68.4%,81%,/best-colleges/nazareth-college-2779,68%,70%,2823,43,62%,Nazareth College,43
N/A,12.2%,2.8,27,2%,920-1130,13:1,"Springfield, MA",35%,84,74.8%,47,18,13%,#31Tie,"$33,455",69.9%,85%,/best-colleges/springfield-college-2211,69%,51%,3286,103,52.3%,Springfield College,67
N/A,4.8%,2.9,60,0%,970-1150,14:1,"West Long Branch, NJ",49%,55,70.7%,128,2,19%,#37,"$32,310",77.9%,80%,/best-colleges/monmouth-university-2616,61%,59%,6316,20,43.9%,Monmouth University,43
