high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,19.6%,4,1,0.2%,1120-1320,12:1,"Elon, NC",63%,2,87.6%,6,3,26%,#1,"$31,247",54%,90%,/best-colleges/elon-university-2927,82%,79%,6305,15,48.9%,Elon University,11
N/A,14.8%,3.8,5,0%,1100-1290,10:1,"Winter Park, FL",67%,N/A,93.6%,16,-7,34%,#2,"$43,080",58.9%*,83%,/best-colleges/rollins-college-1515,68%,75%,2435,2,68.8%,Rollins College,2
N/A,10.7%,3.8,4,2%,23-28,12:1,"Birmingham, AL",59%,12,84%,33,-3,35%,#3,"$27,324",77%,86%,/best-colleges/samford-university-1036,69%,72%,4833,8,66.7%,Samford University,6
N/A,27.4%,3.9,7,3%,970-1190,14:1,"Charleston, SC",34%,77,86.9%,1,10,12%,#4,"in-state: $12,568, out-of-state: $32,176",76.5%,83%,/best-colleges/citadel-3423,69%,59%,3598,28,37.2%,The Citadel,15
N/A,24.5%,3.8,9,0.1%,24-29,13:1,"Nashville, TN",61%,6,71.1%,3,-3,31%,#5,"$28,660",79.9%,82%,/best-colleges/belmont-3479,68%,71%,6915,19,43%,Belmont University,34
N/A,7.2%,3.9,2,13%,1050-1240,16:1,"Harrisonburg, VA",45%,18,84.5%,50,12,27%,#6Tie,"in-state: $9,662, out-of-state: $24,522",60.6%,91%,/best-colleges/jmu-3721,81%,69%,20181,91,33.3%,James Madison University,63
N/A,11.2%,3.5,16,1%,1070-1270,12:1,"DeLand, FL",61%,5,82.3%,30,-5,26%,#6Tie,"$40,040",59.3%,78%,/best-colleges/stetson-university-1531,64%,69%,4044,1,56.8%,Stetson University,8
N/A,9.7%,3.7,17,2%,1080-1270,12:1,"Macon, GA",72%,3,78%,37,-13,41%,#8,"$33,780",69%,82%,/best-colleges/mercer-university-1580,59%,72%,8351,7,64.2%,Mercer University,7
N/A,8.6%,3.6,8,9%,1050-1220,16:1,"Boone, NC",58%,11,88.3%,44,7,21%,#9,"in-state: $6,553, out-of-state: $19,720",65.8%,88%,/best-colleges/appalachian-state-2906,68%,61%,17838,14,38%,Appalachian State University,80
N/A,2%,3.6,26,1%,980-1230,14:1,"Daytona Beach, FL",52%,22,92%,119,-5,23%,#10,"$31,948",74.1%,75%,/best-colleges/embry-riddle-1479,56%,61%,5279,46,25.2%,Embry-​Riddle Aeronautical University,1
N/A,9.4%,3.6,23,2%,22-28,11:1,"New Orleans, LA",43%,23,86.6%,38,-15,15%,#11,"$36,610",87.1%,78%,/best-colleges/loyola-new-orleans-2016,55%,70%,4686,4,50.4%,Loyola University New Orleans,3
N/A,11.6%,3.2,10,1%,22-29,11:1,"Jackson, TN",62%,14,99.3%,26,-3,33%,#12,"$28,190",74.2%,91%,/best-colleges/union-university-3528,64%,67%,3996,3,69.7%,Union University,34
N/A,16.2%,3.2,12,1%,22-27,12:1,"Louisville, KY",54%,17,66.5%,13,2,25%,#13Tie,"$36,290",94.8%,81%,/best-colleges/bellarmine-1954,66%,64%,3419,28,52.3%,Bellarmine University,23
N/A,7.1%,3.6,11,5%,1070-1250,16:1,"Charleston, SC",60%,21,81.4%,51,-4,26%,#13Tie,"in-state: $11,018, out-of-state: $28,008",72.2%,83%,/best-colleges/college-of-charleston-3428,64%,68%,11619,49,36.5%,College of Charleston,48
N/A,16.3%,3.3,3,3%,1010-1210,14:1,"Fredericksburg, VA",50%,27,83.9%,13,5,16%,#13Tie,"in-state: $10,252, out-of-state: $23,538",80.8%,83%,/best-colleges/mary-washington-3746,74%,69%,4831,67,50.2%,University of Mary Washington,70
N/A,5.9%,3.2,5,7%,1110-1270,17:1,"Wilmington, NC",64%,4,84%,65,6,27%,#16,"in-state: $6,392, out-of-state: $20,517",56.8%,86%,/best-colleges/unc-wilmington-2984,71%,65%,13937,49,33.7%,University of North Carolina—​Wilmington,70
N/A,12.6%,3.2,12,4%,1070-1250,16:1,"Newport News, VA",53%,13,84.5%,22,0,20%,#17,"in-state: $11,646, out-of-state: $21,578",59%,84%,/best-colleges/christopher-newport-university-3706,66%,66%,5232,23,46.6%,Christopher Newport University,66
N/A,11.7%,3,21,4%,920-1090,10:1,"Hampton, VA",45%,50,91.2%,26,15,20%,#18Tie,"$22,010",36.1%,77%,/best-colleges/hampton-university-3714,68%,53%,4622,54,55%,Hampton University,4
N/A,14%,3,22,7%,22-28,12:1,"Nashville, TN",55%,7,65.1%,17,-2,31%,#18Tie,"$27,390",52.7%,74%,/best-colleges/lipscomb-3486,64%,66%,4580,38,53.8%,Lipscomb University,11
N/A,27%,3,30,0%,940-1140,12:1,"Charlotte, NC",42%,45,75.5%,2,-2,18%,#18Tie,"$30,850",76.9%,70%,/best-colleges/queens-university-charlotte-2957,52%,54%,2285,21,67.5%,Queens University of Charlotte,4
N/A,19.1%,3,20,0%,21-27,13:1,"Mobile, AL",45%,16,79.4%,7,-7,20%,#18Tie,"$32,468",43.9%,76%,/best-colleges/spring-hill-college-1041,56%,63%,1449,34,56.3%,Spring Hill College,13
N/A,10.8%,3.1,14,7%,22-28,15:1,"Searcy, AR",50%,14,86.4%,32,2,27%,#22,"$17,040",76.3%,81%,/best-colleges/harding-university-10311,62%,60%,6238,71,53.5%,Harding University,39
N/A,23%,2.7,26,0%,960-1160,11:1,"Spartanburg, SC",43%,55,98%,4,-1,18%,#23,"$16,500",52.1%,70%,/best-colleges/converse-college-3431,62%,63%,1334,6,83%,Converse College,9
N/A,17.8%,3.1,25,1%,980-1150,17:1,"Tampa, FL",46%,30,69.3%,9,2,18%,#24,"$26,330",52.2%,73%,/best-colleges/university-of-tampa-1538,60%,58%,7260,38,41.4%,University of Tampa,57
N/A,6.3%,3.2,30,2%,920-1140,14:1,"Rock Hill, SC",51%,49,75.1%,61,5,22%,#25,"in-state: $13,812, out-of-state: $26,738",72.3%,72%,/best-colleges/winthrop-university-3456,56%,51%,6130,41,49.4%,Winthrop University,29
N/A,12.2%,2.8,26,0%,21-27,10:1,"Memphis, TN",60%,7,82.7%,23,-3,28%,#26Tie,"$29,190",50.7%,76%,/best-colleges/christian-brothers-university-3482,55%,58%,1581,15,75.6%,Christian Brothers University,39
N/A,21.5%,3,35,5%,20-26,16:1,"Murray, KY",43%,35,84.8%,5,-3,19%,#26Tie,"in-state: $7,392, out-of-state: $10,073",82.1%,71%,/best-colleges/murray-state-1977,53%,56%,10943,13,54.9%,Murray State University,51
N/A,4.7%,3,19,6%,1050-1230,17:1,"Milledgeville, GA",N/A,36,89.9%,77,1,N/A,#28,"in-state: $8,960, out-of-state: $27,308",68%,85%,/best-colleges/georgia-college-1602,61%,60%,6551,57,38.6%,Georgia College & State University,51
N/A,5.6%,3.1,30,1%,21-27,15:1,"Clinton, MS",42%,23,72.7%,67,-4,24%,#29,"$15,458",67.3%,72%,/best-colleges/mississippi-college-2415,53%,57%,4921,34,60.3%,Mississippi College,57
N/A,11%,2.8,18,1%,920-1090,18:1,"Farmville, VA",33%,92,93.5%,30,9,10%,#30,"in-state: $11,580, out-of-state: $25,350",81.4%,79%,/best-colleges/longwood-university-3719,63%,54%,4960,23,48.1%,Longwood University,70
