high_school_counselor_score_out_of_5,average_alumni_giving_rate,peer_assessment_score_out_of_5,graduation_and_retention_rank,classes_with_50_or_more_students,satact_25th_75th_percentile,student_faculty_ratio,location,freshmen_in_top_25_percent_of_high_school_class,student_selectivity_rank,percent_of_faculty_who_are_full_time,alumni_giving_rank,overperformanceunderperformance,freshmen_in_top_10_percent_of_high_school_class,rank,tuition,fall_2013_acceptance_rate,average_freshman_retention_rate,url,six_year_graduation_rate,predicted_graduation_rate,enrollment,faculty_resources_rank,classes_with_fewer_than_20_students,school_name,financial_resources_rank
N/A,13.9%,4.1,3,1%,1150-1370,9:1,"San Antonio, TX",73%,3,89.9%,11,-10,45%,#1,"$36,214",63.9%,89%,/best-colleges/trinity-university-texas-3647,82%,92%,2434,1,63.8%,Trinity University,2
N/A,22.1%,3.9,1,2%,1190-1380,12:1,"Santa Clara, CA",80%,1,80.7%,1,2,50%,#2,"$43,812",49.8%,94%,/best-colleges/santa-clara-1326,84%,82%,8770,10,40.4%,Santa Clara University,4
N/A,18.3%,3.9,2,2%,1100-1290,12:1,"Spokane, WA",68%,6,79.7%,5,6,39%,#3Tie,"$36,535",68.1%,93%,/best-colleges/gonzaga-university-3778,82%,76%,7605,15,41%,Gonzaga University,20
N/A,20.4%,3.8,4,2%,1090-1300,11:1,"Los Angeles, CA",57%,8,74%,4,2,29%,#3Tie,"$41,372",54.1%,90%,/best-colleges/loyola-marymount-11649,76%,74%,9661,12,46.8%,Loyola Marymount University,5
N/A,10.4%,3.6,8,1%,1050-1260,12:1,"Seattle, WA",62%,13,87.6%,20,6,23%,#5,"$38,205",73.2%,87%,/best-colleges/seattle-university-3790,77%,71%,7422,6,57.7%,Seattle University,6
N/A,21.3%,3.5,23,0.3%,1040-1250,10:1,"Oakland, CA",71%,12,75.5%,2,-9,41%,#6,"$42,918",68%,79%,/best-colleges/mills-college-1238,62%,71%,1595,2,74.7%,Mills College,3
N/A,9.1%,3.5,9,2%,1120-1300,14:1,"Orange, CA",93%,2,72.4%,24,-4,48%,#7,"$45,393",44.7%,92%,/best-colleges/chapman-university-1164,76%,80%,7892,11,41.9%,Chapman University,10
N/A,11.3%,3.6,6,1%,1090-1300,13:1,"Portland, OR",70%,10,85%,16,0,37%,#8,"$38,520",66.8%,90%,/best-colleges/university-of-portland-3224,75%,75%,4036,36,34.5%,University of Portland,28
N/A,17.8%,3.5,5,2%,1090-1290,11:1,"Spokane, WA",N/A,24,80.5%,6,-1,N/A,#9,"$37,456",77.8%,86%,/best-colleges/whitworth-university-3804,74%,75%,2568,30,57.6%,Whitworth University,20
N/A,5.3%,3.9,6,13%,1130-1320,19:1,"San Luis Obispo, CA",83%,6,84.5%,43,0,49%,#10,"in-state: $8,919, out-of-state: $20,079",34.5%,93%,/best-colleges/cal-poly-1143,72%,72%,19703,97,15.9%,California Polytechnic State University—​San Luis Obispo,55
